state	county	lat	lon
Colorado	Routt County	40.4837	-106.9877
Colorado	Saguache County	38.0317	-106.2347
Colorado	San Juan County	37.7810	-107.6703
Colorado	San Miguel County	38.0093	-108.4273
Colorado	Sedgwick County	40.8716	-102.3554
Colorado	Summit County	39.6210	-106.1376
Colorado	Teller County	38.8700	-105.1874
Colorado	Washington County	39.9658	-103.2097
Colorado	Weld County	40.5560	-104.3837
Colorado	Yuma County	40.0008	-102.4216
Connecticut	Capitol Planning Region	41.8170	-72.5759
Connecticut	Greater Bridgeport Planning Region	41.1846	-73.2094
Connecticut	Lower Connecticut River Valley Planning Region	41.4203	-72.4935
Connecticut	Naugatuck Valley Planning Region	41.5189	-73.0879
Connecticut	Northeastern Connecticut Planning Region	41.8424	-71.9727
Connecticut	Northwest Hills Planning Region	41.8548	-73.2215
Connecticut	South Central Connecticut Planning Region	41.2902	-72.8370
Connecticut	Southeastern Connecticut Planning Region	41.4848	-72.1017
Connecticut	Western Connecticut Planning Region	41.2791	-73.4465
Delaware	Kent County	39.0971	-75.5030
Delaware	New Castle County	39.5759	-75.6441
Delaware	Sussex County	38.6732	-75.3370
District of Columbia	District of Columbia	38.9042	-77.0165
Florida	Alachua County	29.6757	-82.3572
Florida	Baker County	30.3244	-82.3023
Florida	Bay County	30.1591	-85.5344
Florida	Bradford County	29.9524	-82.1667
Florida	Brevard County	28.2983	-80.7003
Florida	Broward County	26.1935	-80.4767
Florida	Calhoun County	30.3888	-85.1979
Florida	Charlotte County	26.9064	-82.0037
Florida	Citrus County	28.8503	-82.5956
Florida	Clay County	29.9866	-81.8650
Florida	Collier County	26.1188	-81.4010
Florida	Columbia County	30.2217	-82.6234
Florida	DeSoto County	27.1906	-81.8063
Florida	Dixie County	29.5527	-83.2362
Florida	Duval County	30.3352	-81.6481
Florida	Escambia County	30.5300	-87.3203
Florida	Flagler County	29.4749	-81.2863
Florida	Franklin County	29.6778	-84.8152
Florida	Gadsden County	30.5787	-84.6126
Florida	Gilchrist County	29.7235	-82.7958
Florida	Glades County	26.9548	-81.1908
Florida	Gulf County	29.8592	-85.2720
Florida	Hamilton County	30.4984	-82.9511
Florida	Hardee County	27.4928	-81.8216
Florida	Hendry County	26.5400	-81.1521
Florida	Hernando County	28.5560	-82.5260
Florida	Highlands County	27.3411	-81.3424
Florida	Hillsborough County	27.8932	-82.3800
Florida	Holmes County	30.8620	-85.8159
Florida	Indian River County	27.7005	-80.5748
Florida	Jackson County	30.7892	-85.2088
Florida	Jefferson County	30.3969	-83.9218
Florida	Lafayette County	29.9901	-83.1785
Florida	Lake County	28.7641	-81.7123
Florida	Lee County	26.5633	-81.9842
Florida	Leon County	30.4593	-84.2778
Florida	Levy County	29.2719	-82.8312
Florida	Liberty County	30.2598	-84.8686
Florida	Madison County	30.4472	-83.4704
Florida	Manatee County	27.4756	-82.3931
Florida	Marion County	29.2028	-82.0431
Florida	Martin County	27.0836	-80.3982
Florida	Miami-Dade County	25.6160	-80.5037
Florida	Monroe County	25.5861	-81.0226
Florida	Nassau County	30.6060	-81.7651
Florida	Okaloosa County	30.6143	-86.5911
Florida	Okeechobee County	27.3856	-80.8874
Florida	Orange County	28.5144	-81.3233
Florida	Osceola County	28.0590	-81.1393
Florida	Palm Beach County	26.6491	-80.4484
Florida	Pasco County	28.3098	-82.5110
Florida	Pinellas County	27.9053	-82.7981
Florida	Polk County	27.9536	-81.6935
Florida	Putnam County	29.5939	-81.7320
Florida	Santa Rosa County	30.6753	-87.0189
Florida	Sarasota County	27.2253	-82.4237
Florida	Seminole County	28.6901	-81.1320
Florida	St. Johns County	29.8905	-81.4000
Florida	St. Lucie County	27.3798	-80.4435
Florida	Sumter County	28.7153	-82.0699
Florida	Suwannee County	30.1892	-82.9928
Florida	Taylor County	29.9671	-83.6396
Florida	Union County	30.0543	-82.3669
Florida	Volusia County	29.0578	-81.1618
Florida	Wakulla County	30.0913	-84.3591
Florida	Walton County	30.5712	-86.1628
Florida	Washington County	30.6021	-85.6558
Georgia	Appling County	31.7397	-82.2901
Georgia	Atkinson County	31.2968	-82.8782
Georgia	Bacon County	31.5502	-82.4514
Georgia	Baker County	31.3196	-84.4549
Georgia	Baldwin County	33.0595	-83.2555
Georgia	Banks County	34.3519	-83.4984
Georgia	Barrow County	33.9920	-83.7123
Georgia	Bartow County	34.2409	-84.8382
Georgia	Ben Hill County	31.7408	-83.1472
Georgia	Berrien County	31.2887	-83.2279
Georgia	Bibb County	32.8088	-83.6942
Georgia	Bleckley County	32.4354	-83.3317
Georgia	Brantley County	31.1973	-81.9830
Georgia	Brooks County	30.8229	-83.5819
Georgia	Bryan County	32.0180	-81.4385
Georgia	Bulloch County	32.3945	-81.7416
Georgia	Burke County	33.0602	-82.0002
Georgia	Butts County	33.2904	-83.9582
Georgia	Calhoun County	31.5213	-84.6263
Georgia	Camden County	30.9134	-81.6420
Georgia	Candler County	32.4039	-82.0713
Georgia	Carroll County	33.5822	-85.0805
Georgia	Catoosa County	34.9002	-85.1394
Georgia	Charlton County	30.7799	-82.1396
Georgia	Chatham County	31.9804	-81.0852
Georgia	Chattahoochee County	32.3474	-84.7880
Georgia	Chattooga County	34.4742	-85.3453
Georgia	Cherokee County	34.2443	-84.4751
Georgia	Clarke County	33.9522	-83.3672
Georgia	Clay County	31.6198	-84.9926
Georgia	Clayton County	33.5516	-84.4129
Georgia	Clinch County	30.9177	-82.7026
Georgia	Cobb County	33.9399	-84.5741
Georgia	Coffee County	31.5492	-82.8449
Georgia	Colquitt County	31.1897	-83.7698
Georgia	Columbia County	33.5521	-82.2496
Georgia	Cook County	31.1525	-83.4294
Georgia	Coweta County	33.3529	-84.7621
Georgia	Crawford County	32.7094	-83.9792
Georgia	Crisp County	31.9203	-83.7565
Georgia	Dade County	34.8524	-85.5062
Georgia	Dawson County	34.4426	-84.1733
Georgia	DeKalb County	33.7707	-84.2263
Georgia	Decatur County	30.8806	-84.5839
Georgia	Dodge County	32.1644	-83.1679
Georgia	Dooly County	32.1520	-83.8072
Georgia	Dougherty County	31.5326	-84.2090
Georgia	Douglas County	33.7012	-84.7673
Georgia	Early County	31.3242	-84.9067
Georgia	Echols County	30.7140	-82.8974
Georgia	Effingham County	32.3617	-81.3434
Georgia	Elbert County	34.1164	-82.8419
Georgia	Emanuel County	32.5911	-82.2998
Georgia	Evans County	32.1531	-81.8902
Georgia	Fannin County	34.8665	-84.3173
Georgia	Fayette County	33.4127	-84.4939
Georgia	Floyd County	34.2637	-85.2137
Georgia	Forsyth County	34.2251	-84.1274
Georgia	Franklin County	34.3753	-83.2275
Georgia	Fulton County	33.7900	-84.4682
Georgia	Gilmer County	34.6905	-84.4548
Georgia	Glascock County	33.2275	-82.6069
Georgia	Glynn County	31.2127	-81.4965
Georgia	Gordon County	34.5097	-84.8739
Georgia	Grady County	30.8759	-84.2450
Georgia	Greene County	33.5767	-83.1666
Georgia	Gwinnett County	33.9588	-84.0257
Georgia	Habersham County	34.6344	-83.5259
Georgia	Hall County	34.3176	-83.8185
