state   county   lat  lon
Michigan	Schoolcraft County	46.0211	-86.1970
New York	Ulster County	41.9472	-74.2655
New Jersey	Camden County	39.8024	-74.9612
Illinois	Jersey County	39.0802	-90.3614
Virginia	Hanover County	37.7602	-77.4913
Kansas	Wallace County	38.9266	-101.7711
Michigan	Alger County	46.5217	-86.6571
Arkansas	Fulton County	36.3813	-91.8193
Texas	Hidalgo County	26.3964	-98.1810
North Carolina	Robeson County	34.6392	-79.1009
Michigan	Newaygo County	43.5627	-85.7914
Oregon	Morrow County	45.4255	-119.6023
Minnesota	Todd County	46.0666	-94.9006
Arkansas	Logan County	35.2187	-93.7209
North Carolina	Lincoln County	35.4885	-81.2269
Arkansas	Miller County	33.3055	-93.9015
Florida	Orange County	28.5144	-81.3233
Colorado	San Juan County	37.7810	-107.6703
Idaho	Franklin County	42.1736	-111.8230
Georgia	Carroll County	33.5822	-85.0805
Kansas	Riley County	39.2912	-96.7275
Texas	Schleicher County	30.8962	-100.5272
Virginia	Russell County	36.9334	-82.0959
North Carolina	Caldwell County	35.9664	-81.5125
Idaho	Madison County	43.7886	-111.6570
Indiana	Warrick County	38.0977	-87.2720
Kentucky	Adair County	37.1056	-85.2814
Kentucky	Gallatin County	38.7557	-84.8651
Kentucky	Harrison County	38.4446	-84.3341
Maine	Sagadahoc County	43.9168	-69.8442
Montana	Sweet Grass County	45.8113	-109.9448
Texas	Grayson County	33.6245	-96.6757
Pennsylvania	Greene County	39.8477	-80.2257
Kansas	Ellis County	38.9146	-99.3173
Alabama	Hale County	32.7528	-87.6231
Alabama	Perry County	32.6390	-87.2938
Alabama	Colbert County	34.7031	-87.8015
Kansas	Pratt County	37.6476	-98.7401
Kentucky	Bourbon County	38.2026	-84.2099
Tennessee	Rutherford County	35.8434	-86.4172
Georgia	Cook County	31.1525	-83.4294
Kansas	Lane County	38.4813	-100.4662
Oklahoma	Harper County	36.8004	-99.6628
Illinois	Piatt County	40.0090	-88.5924
Texas	Crosby County	33.6091	-101.2987
Alabama	Greene County	32.8445	-87.9642
Idaho	Clark County	44.2902	-112.3546
Iowa	Kossuth County	43.2124	-94.2140
North Dakota	Burke County	48.7865	-102.5201
North Carolina	Durham County	36.0338	-78.8781
Iowa	Harrison County	41.6886	-95.8271
Nebraska	Keya Paha County	42.8755	-99.7184
Iowa	Webster County	42.4336	-94.1758
Illinois	Pope County	37.4172	-88.5424
Tennessee	Smith County	36.2566	-85.9419
Virginia	Henry County	36.6206	-79.9807
Virginia	Alexandria city	38.8193	-77.0837
Iowa	Jefferson County	41.0064	-91.9666
Montana	Lewis and Clark County	47.1320	-112.3734
Utah	Duchesne County	40.2894	-110.4296
Oklahoma	Alfalfa County	36.7297	-98.3234
Texas	Delta County	33.3859	-95.6734
Tennessee	Trousdale County	36.3930	-86.1567
Kentucky	Perry County	37.2413	-83.2178
South Dakota	Deuel County	44.7563	-96.6902
Oregon	Jackson County	42.4116	-122.6756
Texas	Zavala County	28.8647	-99.7598
Nebraska	Banner County	41.5397	-103.7263
Iowa	Madison County	41.3306	-94.0152
Florida	Broward County	26.1935	-80.4767
Georgia	Toombs County	32.1178	-82.3306
Michigan	Sanilac County	43.4492	-82.6428
Texas	Rockwall County	32.8999	-96.4121
Michigan	Wayne County	42.2847	-83.2620
Minnesota	Nobles County	43.6777	-95.7631
Minnesota	Aitkin County	46.6024	-93.4198
North Dakota	Ramsey County	48.2662	-98.7390
North Carolina	Person County	36.3864	-78.9656
Kansas	Trego County	38.9213	-99.8654
Mississippi	Washington County	33.2732	-90.9444
Texas	Eastland County	32.3246	-98.8366
Mississippi	Issaquena County	32.7555	-91.0035
Texas	DeWitt County	29.0823	-97.3617
Texas	Angelina County	31.2519	-94.6111
South Carolina	Saluda County	34.0053	-81.7279
Missouri	Maries County	38.1626	-91.9236
Arkansas	Arkansas County	34.2896	-91.3765
